Spice Terrace,4.2
Hard Rock Cafe,4.4
7 Rivers Brewing Co.,4.3
Skydeck By Sherlocks,4.3
The Biere Club,4.3
Sanchez,4.3
SodaBottleOpenerWala,4.3
Farzi Cafe,4.3
Jeeveshu Ahluwalia Live,5
Chin Lung Restobar,4.2
Sriracha,4.4
Cantan - Chinese Bar House,4.6
Cafe Noir,4.4
Toscano,4.5
Ozaa - Mediterranean Grills,4.4
Shiro,4.3
The Village - Bangalore,4.2
The Merak Brewhouse,3.9
Le Bistro,4
Pizza Stop,5
Smoke House Deli,4.4
The Bangalore Cafe,4.3
Soul City,3.8
KA 01,4.1
Mainland China,4.2
Raahi,4
Coastal Machali Co,4.4
Matsuri,4.3
Cafe Azzure,4.3
Spice It,3.7
Spiceklub,4.2
Mirage,4.2
Leon's Burgers and Wings,4.1
Nandhini Deluxe,4
South Parade,4
LifeTree (Inspired Vegetarian Cuisine),4.3
Bangalore Brew Works,4.4
Alchemy,4
Quattro Ristorante,4.5
Sweet Chariot,4
Green Theory,4.4
No. 10 Fort Cochin,3.6
Beijing Bites,4.3
Hoppipola,4.2
Cafe Treat,4
Empire Restaurant,4
Anupam's Coast II Coast,4.5
Tandoor,3.8
The Bier Library Brewery & Kitchen,4.4
ASEAN - On The Edge,4.4
Ebony,4.4
The 13th Floor,4.4
Empire Restaurant,4.3
Cafe Rustico,4.5
Just BLR,4.3
Tea and Wine Lounge,4.3
ShakesBierre,4.3
Imperial Restaurant,3.9
Kanti Sweets,4.1
Kanti Sweets,4.7
Tandoori Wok,3.9
Le Rock,4
Sreeraj Lassi Bar,5
Tea Trails,4.1
Fuel Resto Bar,3
Sreeraj Lassi Bar,4
Burnout Cafe,3.8
Wolf'ish,4.1
The Black Pearl,4
Skylit,4.3
Paakashala,4.1
Green Onion,4.3
Imperial Restaurant,4.1
Subway,4.8
Ayda Persian Kitchen,3.5
Hotel Fishland,4.6
The Courtyard,3.8
Mad Over Donuts,4.3
Blue Bar,4.5
RS Shiv Sagar,4.2
California Burrito,4.6
The BARN,4.2
Tiger Trail,3.8
Pasta Street,4.5
Dolci,4
Subz,4.3
Empire Restaurant,3.9
Hotel Fishland,4
Cold Stone Creamery,3.7
The London Curry House,4.4
Dindigul Thalappakatti,3
b Café,4.4
Juice Junction,5
Kanti Sweets,4
Ssaffron,4.5
Sreeraj Lassi Bar,4.3
Sweet Chariot,3
Khan Saheb Grills and Rolls,4
Shaken & Stirred,4.2
Ging,4.4
The Lobby Lounge,4.7
Hotel Fanoos,2.8
Shang Palace,4.3
Bareerah Multicuisine Restaurant,4.1
Kanti Sweets,3.9
Atlas World Cafe,4.2
Kanti Sweets,4.1
The Kabab Studio,4
Spice Cove,3.8
Chianti,4.6
Lush,4.3
Sana-Di-Ge,4
Nandhini Deluxe,3.4
Sreeraj Lassi Bar,5
Richie Rich,4.2
Orchid,4
Empire Restaurant,3.8
R Bar,4.3
Pinxx,3.9
Imperial Restaurant,3.6
Lassi Shop,4
Tiamo,4.2
Desserted Cafe,4.1
Dindigul Thalappakatti,4.4
i-BAR,4.2
Yauatcha,4.6
Daddy,4.2
Glacier - The Lounge Bar,4.5
Mani's Dum Biryani,4.5
Aqua,4
The Bengaluru Brasserie,4.5
Stegi,4.2
Night Owl Sky Lounge,4
Urban Solace,4.8
World on a Plate,4.2
Carnival De Goa,4
The Lobby Brew,4.3
Monsoon,3.9
Barbeque Nation,4.4
Thanco's Natural Ice Cream,3.7
C Sharp Kitchen,1
Sandwichwallas,5
Khandani Rajdhani,4.1
Cold Stone Creamery,5
Mad Over Donuts,4.5
Subway,5
Taco Bell,4.5
Street Storyss,4.4
The Asian Curry House,4.3
California Burrito,4.3
Olive Tree,4.3
Hotel Karavali Beach,2.7
Barbecue By Punjab Grill,4
Sreeraj Lassi Bar,1
Elements Eatery,4.1
Nandhini Deluxe,3.9
Beijing Bites,4.3
Sampurna,3.8
Sigdee,4
Chocolate Philosophy,4.3
Boho,4
Lassi Shop,3
Board 4 Bored,4.4
Indotalian II Cafe,4.6
Steaming Mugs,4.3
Toscano,4.3
Kanti Sweets,4.2
Thanco's Natural Ice Cream,4.2
Shruti Delicacy,5
Barbeque Nation,4.3
Chutney Chang,4.1
Empire Restaurant,4
Gokul Veg,4.2
Via Milano,4.6
21st Amendment Gastrobar,4.1
Salt,4.4
Three Dots and A Dash,4.1
Frozen Bottle,3.3
Juice Junction,4.3
Subway,4.6
Gullu's Chat,2
Golden Oak,4.2
Khan Saheb Grills and Rolls,2.8
Ramji Chaiwale,4.3
Juice Junction,4.3
The Big Bellyz,4.5
Cafe Mondo,4
The Royal Corner,4.2
Sreeraj Lassi Bar,5
Tipsy Bull - The Bar Exchange,3.9
Bamey's Restro Cafe,4.5
Fogg Sheesha Lounge,4.1
Aubree,3.8
Biergarten,4.4
Kanti Sweets,4.8
Bologna,4.5
Aubree,4.6
Chinita Real Mexican Food,4.6
Smoor,4.6
Punjab Mail,3.5
Haji Ali Juice Centre,3
Chianti,4.6
Curry Leaves,4.3
K-OS The Game Bar,4.3
Gam's Delicacy,4.5
Clean Slate Cafe,4.4
Gufha,4.2
Shree Mahalakshmi Sweets,2.7
Fanoos,3
Tarbouche,4
The Fatty Bao - Asian Gastro Bar,4.5
Maravanthe,4.5
1131 Bar + Kitchen By House of Commons,4.2
Plan B,3.4
Frozen Bottle,4.9
Khan Saheb Grills And Rolls,3.9
Kanti Sweets,4.5
Sandwichwallas,3.3
Empire Restaurant,4.2
Fanoos Xprss,5
Hungry B,4.3
Brews N Bites,5
Tycoons - Fine Dine and Retro Bar,4.5
Kanti Sweets,4.3
Savoury,4.2
Shalimar Bar & Restaurant,4.5
Haagen-Dazs,4
Smoke - The Sizzler House,3.9
White Fog,4.4
Chaatimes,4
Northwest Kebab and Curyhouse,4.5
Paakashala,4
Nando's,4.4
Doff Pub And Lounge,4.4
